region_program_name,package_name,apk_md5,program_name,developers,icon_url
橘兔语音,com.yinjieinteract.orangerabbit,61F4344CD102BD846DD1E819B109A2E4,橘兔语音,成都厚荣辉耀网络科技有限公司,https://pp.myapp.com/ma_icon/0/icon_54089029_1613801625/96
小智同学,com.lcr.wakeuprecog,E16E4BCED4D7FD9D69956982B1005D3E,小智同学,吕从瑞,https://pp.myapp.com/ma_icon/0/icon_52740799_1612543888/96
声吧,cn.tantady.tt,74BFE2A348E6A629E5DB09E84096D12C,声吧,深圳市金耀阳科技有限公司,https://pp.myapp.com/ma_icon/0/icon_42390544_1612599601/96
纯纯语音,com.baidu.BaiduMap,14C97E6884320506AF7BB78FEC278068,百度地图,百度在线网络技术（北京）有限公司,https://pp.myapp.com/ma_icon/0/icon_9997_1612766486/96
戏鲸,com.jingyu.whalef_android,DBF6F728F06D9207063EED75CB0767BF,鲸鱼电竞,北京竞娱科技有限公司,https://pp.myapp.com/ma_icon/0/icon_52637501_1608355004/96
语声,com.mini.yusheng,C559913C9CF54072ACFC8620B93D65C9,语声,广西旅途网络科技有限公司,https://pp.myapp.com/ma_icon/0/icon_54095232_1612516223/96
暖心语音,com.example.gamevoice,800FEE4A70B65289228B1D125760B139,小白语音,广州市指间互动网络科技有限公司,https://pp.myapp.com/ma_icon/0/icon_53954343_1612424922/96
UC浏览器,com.UCMobile,2FCD510FE33A6151B82235C2A266B1E7,UC浏览器,广州市动景计算机科技有限公司,https://pp.myapp.com/ma_icon/0/icon_10936_1613635818/96
QQ输入法,com.tencent.qqpinyin,B76DEDB0868B3BD006B41118908897C9,QQ输入法,北京搜狗信息服务有限公司,https://pp.myapp.com/ma_icon/0/icon_10872_1612346175/96
有讯网络电话,com.feiin.wldh,495365991293444D8506846EE06CFC34,免费wifi电话,深圳市小拨网络有限公司,https://pp.myapp.com/ma_icon/0/icon_287173_1612325283/96
语音导出,com.hxyh.wxmp3,94997288369E59F10280DA3C9685ACFB,语音导出,北京华夏永宏科技有限公司,https://pp.myapp.com/ma_icon/0/icon_52811291_1612792305/96
uni语音,com.ds.voicechat,46E08774FC1DF979197EBBA640ECA216,uni语音,重庆辉跃网络科技有限公司,https://pp.myapp.com/ma_icon/0/icon_54034217_1612753224/96
安全换机,com.ydhj.transfer,9519C6C0E691159AEB6EAC93EDD6EA2E,一点换机,深圳市一体传媒有限公司,https://pp.myapp.com/ma_icon/0/icon_52800419_1599631136/96
KK键盘,im.weshine.keyboard,A195E04A4C798F3C9C6B2B32AA831D64,KK键盘,北京闪趣信息技术有限公司,https://pp.myapp.com/ma_icon/0/icon_52702718_1612686042/96
快输入,com.safekey.inputmethod,688EE0D1C5522D017FDDE705EC5CD358,快输入,聚越信息技术（上海）有限公司,https://pp.myapp.com/ma_icon/0/icon_53920657_1612541766/96
手心输入法,com.xinshuru.inputmethod,E9C3FDE35169A1A76B547070B7CDE94E,手心输入法,北京奇元科技有限公司,https://pp.myapp.com/ma_icon/0/icon_11536868_1612764226/96
智云健康,com.zyhealth.patient,3D8701B11A5B11A59D617008C79ED07C,智云健康,杭州康晟健康管理咨询有限公司,https://pp.myapp.com/ma_icon/0/icon_53924120_1612503961/96
微商输入法,com.pengtuzm.ime,6A33C07D353E508A55F3476ECC5D9A46,微商输入法,北京鹏图助梦科技有限公司,https://pp.myapp.com/ma_icon/0/icon_53989022_1612533611/96
墨迹天气,com.moji.mjweather,916C59E5A6F49732F14E0BCA53BCA006,墨迹天气,北京墨迹风云科技股份有限公司,https://pp.myapp.com/ma_icon/0/icon_9206_1612524855/96
WoFit,com.tkl.fitup,A92AB0B937D3B189F2AD6E98119BA589,WoFit,迦沃科技（深圳）有限公司,https://pp.myapp.com/ma_icon/0/icon_52533054_1612230805/96
考拉睡眠,com.koalareading.koalareading,C35DCD86118F77969292A06136941E04,考拉阅读,北京享阅教育科技有限公司,https://pp.myapp.com/ma_icon/0/icon_52483135_1608276749/96
WiiWear,cn.com.wiisoft.tuotuo,F6909AA789591E74680C7D3326019A19,儿童拖拖乐游戏,深圳市唯游科技有限公司,https://pp.myapp.com/ma_icon/0/icon_7500_1611566715/96
废废,com.newcolor.qixinginfo,C3C79AB08FD2F45D5F1AFF2D9E0E7F5F,废废,临沂七星信息技术有限责任公司,https://pp.myapp.com/ma_icon/0/icon_11940227_1612688909/96
智能穿戴体温计,com.wzkt.eva,A5B5780029BEBC79FF3B8A36058FB78C,智能穿戴体温计,北京五洲康泰科技有限公司,https://pp.myapp.com/ma_icon/0/icon_52835596_1612788608/96
